"ContainerNumber","ScanTime","PicNumber","XmlFile"
"CARU9895883","12/18/2025 4:24:30 PM","23301FS01202512180043","C:\NickScan\FS6000\Archive\2025\1218\0043\23301FS01202512180043.xml"
"OOCU0500780","12/18/2025 5:24:54 PM","23301FS01202512180049","C:\NickScan\FS6000\Archive\2025\1218\0049\23301FS01202512180049.xml"
"MRKU7715592","12/18/2025 5:42:52 PM","23301FS01202512180052","C:\NickScan\FS6000\Archive\2025\1218\0052\23301FS01202512180052.xml"
"BMOU2927220","12/18/2025 9:01:45 PM","23301FS01202512180059","C:\NickScan\FS6000\Archive\2025\1218\0059\23301FS01202512180059.xml"
"MSMU5943615","12/19/2025 2:58:43 AM","23301FS01202512190016","C:\NickScan\FS6000\Archive\2025\1219\0016\23301FS01202512190016.xml"
"MSDU8783480","12/19/2025 10:23:32 AM","23301FS01202512190033","C:\NickScan\FS6000\Archive\2025\1219\0033\23301FS01202512190033.xml"
"TGCU2156964","12/19/2025 10:38:52 AM","23301FS01202512190034","C:\NickScan\FS6000\Archive\2025\1219\0034\23301FS01202512190034.xml"
"MSNU2968629","12/19/2025 10:41:07 AM","23301FS01202512190035","C:\NickScan\FS6000\Archive\2025\1219\0035\23301FS01202512190035.xml"
"SUDU7658878","12/19/2025 11:54:58 AM","23301FS01202512190038","C:\NickScan\FS6000\Archive\2025\1219\0038\23301FS01202512190038.xml"
"TGBU5713740","12/19/2025 11:58:25 AM","23301FS01202512190039","C:\NickScan\FS6000\Archive\2025\1219\0039\23301FS01202512190039.xml"
"MRKU6988904","12/19/2025 12:24:03 PM","23301FS01202512190041","C:\NickScan\FS6000\Archive\2025\1219\0041\23301FS01202512190041.xml"
"MSNU1077100","12/19/2025 12:31:58 PM","23301FS01202512190042","C:\NickScan\FS6000\Archive\2025\1219\0042\23301FS01202512190042.xml"
"TCNU1025971","12/19/2025 12:33:19 PM","23301FS01202512190043","C:\NickScan\FS6000\Archive\2025\1219\0043\23301FS01202512190043.xml"
"MRKU8445022","12/19/2025 2:07:46 PM","23301FS01202512190048","C:\NickScan\FS6000\Archive\2025\1219\0048\23301FS01202512190048.xml"
"SUDU7947314","12/19/2025 2:13:49 PM","23301FS01202512190049","C:\NickScan\FS6000\Archive\2025\1219\0049\23301FS01202512190049.xml"
"MSMU2315636","12/19/2025 3:49:26 PM","23301FS01202512190061","C:\NickScan\FS6000\Archive\2025\1219\0061\23301FS01202512190061.xml"
"MSKU5552137","12/19/2025 3:53:54 PM","23301FS01202512190063","C:\NickScan\FS6000\Archive\2025\1219\0063\23301FS01202512190063.xml"
"MSNU5291444","12/19/2025 3:54:31 PM","23301FS01202512190064","C:\NickScan\FS6000\Archive\2025\1219\0064\23301FS01202512190064.xml"
"MRKU7843063","12/19/2025 3:56:45 PM","23301FS01202512190065","C:\NickScan\FS6000\Archive\2025\1219\0065\23301FS01202512190065.xml"
"MSNU7413881","12/19/2025 3:58:33 PM","23301FS01202512190066","C:\NickScan\FS6000\Archive\2025\1219\0066\23301FS01202512190066.xml"
"MRKU8752646","12/19/2025 4:00:08 PM","23301FS01202512190067","C:\NickScan\FS6000\Archive\2025\1219\0067\23301FS01202512190067.xml"
"GESU5847292","12/19/2025 4:04:49 PM","23301FS01202512190068","C:\NickScan\FS6000\Archive\2025\1219\0068\23301FS01202512190068.xml"
"MRKU7086191","12/19/2025 4:10:39 PM","23301FS01202512190069","C:\NickScan\FS6000\Archive\2025\1219\0069\23301FS01202512190069.xml"
